Date-Time,Latitude,Longitude,Magnitude,Epicenter
4/25/15 11:56:00 AM,28.24,84.75,7.6,Gorkha
4/25/15 12:23:00 PM,28.41,85.8,5.5,Tibet
4/25/15 12:30:00 PM,28.28,84.72,6.6,Gorkha
4/25/15 12:41:00 PM,28.13,85.65,5.7,Rasuwa
4/25/15 12:53:00 PM,28.2,85.75,5.3,Rasuwa
4/25/15 1:32:00 PM,27.99,85.71,5.1,Tibet
4/25/15 2:02:00 PM,27.78,85.84,5.2,Sindhupalchowk
4/25/15 2:05:00 PM,27.9,84.86,5.1,Dhading
4/25/15 2:14:00 PM,28.18,84.95,5.2,Gorkha
4/25/15 2:40:00 PM,27.65,85.63,5.7,Kabre
4/25/15 2:48:00 PM,27.91,85.33,5.3,Nuwakot
4/25/15 3:15:00 PM,28,85.6,5.5,Sindhupalchowk
4/25/15 3:28:00 PM,28.29,85.16,4.6,Rasuwa
4/25/15 4:08:00 PM,27.87,85.8,4.1,Sindhupalchowk
4/25/15 4:25:00 PM,27.86,85.85,4,Sindhupalchowk
4/25/15 4:50:00 PM,27.91,85.5,4.6,Sindhupalchowk
4/25/15 5:26:00 PM,28.14,85.28,4.1,Rasuwa
4/25/15 6:02:00 PM,28,85.4,4.9,Nuwakot
4/25/15 6:24:00 PM,27.82,86.05,4.5,Dolakha
4/25/15 6:29:00 PM,28.16,84.71,5.5,Gorkha
4/25/15 7:15:00 PM,28.1,85.2,4.7,Rasuwa
4/25/15 7:21:00 PM,27.69,86.02,4.9,Dolakha
4/25/15 7:38:00 PM,27.79,85.16,4.1,Nuwakot
4/25/15 7:47:00 PM,27.68,85.32,4.1,Kathmandu
4/25/15 7:55:00 PM,27.73,85.9,4.7,Sindhupalchowk
4/25/15 8:08:00 PM,28.05,85.25,4.1,Rasuwa
4/25/15 8:21:00 PM,27.6,86.09,4.5,Dolakha
4/25/15 8:25:00 PM,27.73,85.9,5,Sindhupalchowk
4/25/15 8:36:00 PM,28.14,85.16,4.4,Rasuwa
4/25/15 9:02:00 PM,27.95,85.56,4.2,Sindhupalchowk
4/25/15 10:12:00 PM,27.92,85.64,5.3,Sindhupalchowk
4/25/15 10:31:00 PM,27.8,85.29,4,Nuwakot
4/25/15 11:19:00 PM,27.77,85.83,4.1,Sindhupalchowk
4/25/15 11:24:00 PM,27.9,85.53,4,Sindhupalchowk
4/25/15 11:25:00 PM,27.78,85.17,4,Nuwakot
4/25/15 11:27:00 PM,28.34,85.91,5.6,Tibet
4/25/15 11:40:00 PM,28.1,85.27,4,Rasuwa
4/25/15 11:46:00 PM,27.78,85.98,4.1,Sindhupalchowk
4/26/15 12:14:00 AM,27.94,85.55,4.1,Sindhupalchowk
4/26/15 12:43:00 AM,27.71,85.43,4.6,Kathmandu
4/26/15 1:29:00 AM,27.93,85.56,4.1,Sindhupalchowk
4/26/15 1:49:00 AM,28.05,85.35,4,Rasuwa
4/26/15 1:52:00 AM,28.14,84.71,4.2,Gorkha
4/26/15 1:56:00 AM,27.93,85.56,4.4,Sindhupalchowk
4/26/15 2:08:00 AM,28.25,85.83,4,Rasuwa
4/26/15 2:14:00 AM,28.24,84.82,4.3,Gorkha
4/26/15 2:17:00 AM,27.6,85.96,4.8,Sindhupalchowk
4/26/15 2:49:00 AM,27.98,84.99,4,Gorkha
4/26/15 2:52:00 AM,27.82,85.8,4.8,Sindhupalchowk
